epoch,train_loss,train_l1,train_ssim_loss,train_perceptual,val_loss,lr,time_seconds
138,0.477650,0.043390,0.366571,0.676902,0.499433,0.000066,84.6
139,0.473937,0.040998,0.365536,0.674029,0.474238,0.000066,84.7
140,0.463872,0.039875,0.356774,0.672235,0.480169,0.000065,84.7
141,0.463143,0.039891,0.355902,0.673497,0.470204,0.000065,84.7
142,0.457684,0.039171,0.351119,0.673936,0.480357,0.000065,84.6
143,0.463584,0.039865,0.356919,0.668002,0.476005,0.000064,84.6
144,0.457650,0.039113,0.351304,0.672336,0.457822,0.000064,84.6
145,0.455943,0.039566,0.348699,0.676778,0.479214,0.000063,84.6
146,0.466121,0.039993,0.359020,0.671078,0.483180,0.000063,84.6
147,0.459072,0.039352,0.352829,0.668906,0.462800,0.000062,84.7
148,0.452296,0.038587,0.346997,0.667113,0.462637,0.000062,84.7
149,0.464368,0.042541,0.354544,0.672825,0.480728,0.000062,84.7
150,0.463771,0.040299,0.356014,0.674584,0.468757,0.000061,84.6
151,0.466448,0.040797,0.358998,0.666524,0.480219,0.000061,84.6
152,0.463096,0.040387,0.356094,0.666141,0.485119,0.000060,84.6
153,0.464691,0.040470,0.357278,0.669436,0.468062,0.000060,84.7
154,0.453098,0.038920,0.346654,0.675237,0.459262,0.000059,84.6
155,0.460689,0.040696,0.352950,0.670438,0.469765,0.000059,84.6
156,0.459988,0.039665,0.353454,0.668691,0.468455,0.000058,84.7
157,0.468193,0.042264,0.358865,0.670644,0.493713,0.000058,84.7
158,0.477063,0.041920,0.368499,0.666446,0.493571,0.000058,84.7
159,0.471720,0.040856,0.363871,0.669932,0.477279,0.000057,84.6
160,0.463191,0.039719,0.356193,0.672797,0.469005,0.000057,84.7
161,0.466545,0.040282,0.358802,0.674615,0.475569,0.000056,84.6
162,0.457907,0.039204,0.351884,0.668198,0.462551,0.000056,84.7
163,0.466510,0.039889,0.359874,0.667461,0.475397,0.000055,84.6
164,0.456457,0.038879,0.350001,0.675758,0.463022,0.000055,84.7
165,0.458697,0.039364,0.352169,0.671635,0.464501,0.000054,84.6
166,0.454422,0.038764,0.347796,0.678628,0.462834,0.000054,84.7
167,0.463636,0.040487,0.356014,0.671349,0.476676,0.000054,84.6
168,0.462273,0.039890,0.354956,0.674262,0.464200,0.000053,84.7
169,0.464388,0.040629,0.356278,0.674813,0.465749,0.000053,84.7
170,0.458124,0.039481,0.351076,0.675673,0.471910,0.000052,84.6
171,0.457858,0.039494,0.351249,0.671149,0.477658,0.000052,84.6
172,0.461408,0.039925,0.354491,0.669924,0.470151,0.000051,84.7
173,0.461444,0.040105,0.354526,0.668127,0.470102,0.000051,84.6
174,0.471529,0.043863,0.360908,0.667581,0.482465,0.000050,84.7
175,0.465194,0.039994,0.357867,0.673329,0.469238,0.000050,84.6
176,0.455606,0.038993,0.349141,0.674714,0.463623,0.000050,84.6
177,0.464085,0.040726,0.356286,0.670725,0.466433,0.000049,84.6
178,0.458619,0.039715,0.352077,0.668264,0.476182,0.000049,84.6
179,0.457399,0.039493,0.351072,0.668332,0.467736,0.000048,84.7
180,0.461301,0.040021,0.354311,0.669686,0.464875,0.000048,84.7
181,0.456169,0.039544,0.349801,0.668234,0.474504,0.000047,84.6
182,0.462773,0.039689,0.355785,0.672987,0.471352,0.000047,84.6
183,0.453198,0.038935,0.347346,0.669170,0.461138,0.000046,84.7
184,0.456036,0.039283,0.349941,0.668125,0.463288,0.000046,84.6
185,0.458031,0.039379,0.351022,0.676294,0.482355,0.000046,84.7
186,0.462889,0.039746,0.355791,0.673520,0.470686,0.000045,84.6
187,0.455595,0.038987,0.349515,0.670937,0.468831,0.000045,84.6
188,0.464353,0.040182,0.357098,0.670730,0.470495,0.000044,84.6
189,0.461966,0.039906,0.354602,0.674582,0.473405,0.000044,84.6
190,0.459097,0.039505,0.352149,0.674434,0.466751,0.000043,84.7
191,0.465822,0.040445,0.357382,0.679942,0.470805,0.000043,84.7
192,0.457123,0.039044,0.350817,0.672627,0.465313,0.000042,84.7
193,0.457224,0.039105,0.351295,0.668243,0.463018,0.000042,84.6
194,0.458346,0.040097,0.350975,0.672744,0.463556,0.000042,84.7
195,0.458310,0.039355,0.352355,0.666000,0.466317,0.000041,84.7
196,0.455647,0.039211,0.349808,0.666280,0.463217,0.000041,84.7
197,0.459555,0.039366,0.352703,0.674869,0.474830,0.000040,84.6
198,0.460852,0.039440,0.354625,0.667877,0.464329,0.000040,84.7
199,0.456959,0.039268,0.350830,0.668607,0.482804,0.000039,84.6
200,0.466326,0.040531,0.358809,0.669865,0.473212,0.000039,84.6
201,0.461972,0.039589,0.355494,0.668881,0.466951,0.000038,84.6
202,0.458221,0.039151,0.351987,0.670827,0.465769,0.000038,84.7
203,0.456095,0.039281,0.348920,0.678936,0.462169,0.000038,84.6
204,0.459616,0.039604,0.352256,0.677558,0.473853,0.000037,84.6
205,0.458709,0.039428,0.351922,0.673589,0.468629,0.000037,84.6
206,0.454110,0.039041,0.347713,0.673559,0.463577,0.000036,84.6
207,0.457419,0.040651,0.349484,0.672837,0.461915,0.000036,84.6
208,0.455386,0.038975,0.348842,0.675694,0.469893,0.000035,84.6
209,0.458181,0.039392,0.351682,0.671070,0.468360,0.000035,84.7
210,0.458553,0.039804,0.351958,0.667905,0.465430,0.000035,84.7
211,0.452541,0.038702,0.346538,0.673005,0.459048,0.000034,84.7
212,0.451961,0.038710,0.346333,0.669179,0.467320,0.000034,84.7
213,0.456289,0.039016,0.350641,0.666315,0.467147,0.000033,84.7
214,0.454331,0.038988,0.348464,0.668791,0.461536,0.000033,84.7
215,0.451512,0.038598,0.345998,0.669163,0.462024,0.000032,84.7
216,0.455390,0.039210,0.349303,0.668773,0.465763,0.000032,84.7
217,0.456199,0.039919,0.349589,0.666905,0.471600,0.000032,84.7
218,0.460299,0.039894,0.354022,0.663822,0.467311,0.000031,84.7
219,0.455596,0.039352,0.349574,0.666697,0.467608,0.000031,84.7
220,0.453139,0.038857,0.347370,0.669121,0.460040,0.000030,84.7
221,0.451387,0.038891,0.345547,0.669493,0.459805,0.000030,84.7
222,0.451326,0.038586,0.345783,0.669574,0.463871,0.000030,84.7
223,0.452198,0.038720,0.346910,0.665687,0.462261,0.000029,84.7
224,0.461448,0.041318,0.353521,0.666085,0.467170,0.000029,84.7
225,0.458215,0.039348,0.352188,0.666785,0.469676,0.000028,84.7
226,0.455179,0.038916,0.349758,0.665048,0.461526,0.000028,84.7
227,0.450196,0.038570,0.344725,0.669005,0.459485,0.000028,84.7
228,0.451614,0.038834,0.346056,0.667235,0.463027,0.000027,84.8
229,0.455511,0.039268,0.349539,0.667036,0.472026,0.000027,84.7
230,0.455750,0.039247,0.349606,0.668971,0.463125,0.000026,84.8
231,0.452984,0.038852,0.347276,0.668557,0.461706,0.000026,84.7
232,0.451249,0.038649,0.345831,0.667697,0.458607,0.000026,84.8
233,0.454017,0.039036,0.348454,0.665266,0.464779,0.000025,84.7
234,0.452912,0.038890,0.347463,0.665599,0.471202,0.000025,85.2
235,0.458978,0.039277,0.353087,0.666141,0.465556,0.000024,85.7
236,0.451775,0.038629,0.346182,0.669646,0.458763,0.000024,85.7
237,0.453124,0.039184,0.347377,0.665633,0.458004,0.000024,84.7
238,0.449922,0.038735,0.344151,0.670362,0.459270,0.000023,84.7
239,0.449359,0.038350,0.343624,0.673847,0.454812,0.000023,84.7
240,0.452464,0.038664,0.347111,0.666883,0.461398,0.000022,84.7
241,0.454852,0.039369,0.348508,0.669746,0.466221,0.000022,84.7
242,0.456512,0.039384,0.350205,0.669235,0.470310,0.000022,84.7
243,0.458014,0.039975,0.351443,0.665959,0.466191,0.000021,84.7
244,0.456489,0.039493,0.350244,0.667521,0.462357,0.000021,84.7
245,0.453074,0.038937,0.347508,0.666287,0.461388,0.000021,84.7
246,0.452696,0.038861,0.347328,0.665066,0.460498,0.000020,84.7
247,0.452086,0.038762,0.346882,0.664410,0.466245,0.000020,84.7
248,0.450872,0.038602,0.345590,0.666793,0.455487,0.000020,84.7
249,0.450887,0.038606,0.345285,0.669964,0.457218,0.000019,84.7
250,0.453525,0.039128,0.347986,0.664103,0.459849,0.000019,84.7
251,0.450827,0.038998,0.345170,0.666588,0.462323,0.000018,84.7
